O	104	副	入耳	ji̍p-ní/li̍p-ní			落耳		你/講/閣/較/濟/伊/嘛/聽/袂/入耳/。	你說再多他也聽不進去。	【副】聽進耳裡。例：你講閣較濟伊嘛聽袂入耳。Lí kóng koh-khah tsē i mā thiann bē ji̍p-ní. (你說再多他也聽不進去。)　											
O	106	形	七老八老	tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu					食/甲/七老八老/矣/，/猶閣/毋/認/老/。	活到七老八十了，還不認老。	【形】七老八十。形容年紀很老。例：食甲七老八老矣，猶閣毋認老。Tsia̍h kah tshit-lāu-peh-lāu--ah, iáu-koh m̄ jīn lāu. (活到七老八十了，還不認老。)　											
O	107	名	了尾仔囝	liáu-bué-á-kiánn/liáu-bé-á-kiánn					你/著/較/拍拚/咧/，/毋通/做/了尾仔囝/。	你要更努力一點，不要做敗家子。	【名】敗家子。不務正業、傾家蕩產而無法自立的子孫。例：你著較拍拚咧，毋通做了尾仔囝。Lí tio̍h khah phah-piànn--leh, m̄-thang tsò liáu-bué-á-kiánn. (你要更努力一點，不要做敗家子。)　											
O	108	名	二步七仔	--jī-pōo-tshit-á/--lī-pōo-tshit-á/--nn̄g-pōo-tshit-á	二步拭仔、兩步拭仔		才調、本事、兩步七仔		講/著/種/花/伊/閣/有/二步七仔/！	說到種花他還有點能耐！	【名】本事、本領。形容人對事情有一點處理的本事、能力。例：講著種花伊閣有二步七仔！Kóng-tio̍h tsìng-hue i koh ū--jī-pōo-tshit-á! (說到種花他還有點能耐！)　											
O	110	形	十足	tsa̍p-tsiok					睏/飽/了後/，/氣力/十足/。	一覺睡醒之後，全身都充滿了活力。	【形】完全、充分。例：睏飽了後，氣力十足。Khùn-pá liáu-āu, khuì-la̍t tsa̍p-tsiok. (一覺睡醒之後，全身都充滿了活力。)　											
O	111	名	九芎仔	kiú-kiong-á			九芎仔柴、九芎仔樹		九芎仔/柴/ 	九芎樹	【名】九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。例：九芎仔柴　kiú-kiong-á-tshâ(九芎樹)。											
O	112	名	人事	jîn-sū/lîn-sū					人事/室/ 	管理機關人員的辦公處所	1.【名】機關中的人員升調、獎懲、任免等事務。例：人事室　jîn-sū sik(管理機關人員的辦公處所)。											
O	112	名	人事	jîn-sū/lîn-sū					盡/人事/順/天意/。	盡人事聽天命。	2.【名】人力。人的作為。例：盡人事順天意。Tsīn jîn-sū sūn thinn-ì. (盡人事聽天命。)　											
X	112	名	人事	jîn-sū/lîn-sū					過年/時/仔/伊/會/用/外國/酒/來/做人/事/。	過年的時候他會用外國酒來做公關。	3.【名】公關。用來送禮的物品。例：過年時仔伊會用外國酒來做人事。Kuè-nî-sî-á i ē īng guā-kok tsiú lâi tsò jîn-sū. (過年的時候他會用外國酒來做公關。)　											
O	115	名	二房	jī-pâng/lī-pâng					陳/家/二房/的/囝孫/仔/攏/真/老實/。	陳家二房的子孫都很老實。	【名】家族中次男的支系。例：陳家二房的囝孫仔攏真老實。Tân--ka jī-pâng ê kiánn-sun-á lóng tsin láu-si̍t. (陳家二房的子孫都很老實。)　											
X	116	名	人物	jîn-bu̍t/lîn-bu̍t					大人/物/ 	有地位有名望的人	【名】有品格、才能出眾的人。例：大人物　tuā jîn-bu̍t(有地位有名望的人)。											
O	117	形	十花五色	tsa̍p-hue-gōo-sik			五花十色		十花五色/的/人/ 	形形色色的人	【形】五花八門、形形色色。例：十花五色的人　tsa̍p-hue-gōo-sik ê lâng(形形色色的人)。											
O	118	動	入門	ji̍p-mn̂g/li̍p-mn̂g					我/今仔/入門/，/電話/就/來/矣/。	我剛進門，電話就來了。	1.【動】進門。例：我今仔入門，電話就來矣。Guá tann-á ji̍p-mn̂g, tiān-uē tō lâi--ah. (我剛進門，電話就來了。)　											
O	118	動	入門	ji̍p-mn̂g/li̍p-mn̂g					我/想欲/趕/緊/共/你/娶/入門/。	我想要趕快將你娶進門。	2.【動】婦女嫁到夫家。例：我想欲趕緊共你娶入門。Guá siūnn-beh kuánn-kín kā lí tshuā ji̍p-mn̂g. (我想要趕快將你娶進門。)　											
O	118	動	入門	ji̍p-mn̂g/li̍p-mn̂g					學/音/樂/，/我/拄/入門/。	學音樂，我才剛剛入門。	3.【動】初步學會。例：學音樂，我拄入門。O̍h im-ga̍k, guá tú ji̍p-mn̂g. (學音樂，我才剛剛入門。)　											
O	119	名	人客	lâng-kheh	儂客		客戶		咱/愛/好好仔/招待/人客/。	我們要好好招呼客人。	【名】客人、賓客、顧客。例：咱愛好好仔招待人客。Lán ài hó-hó-á tsiau-thāi lâng-kheh. (我們要好好招呼客人。)；店內人客真濟。Tiàm-lāi lâng-kheh tsin tsē.(店裡顧客很多。)　											
O	120	時	了後	liáu-āu					你/出門/了後/，/伊/就/醒/矣/。	你出去之後，他就醒了。	【時】之後。 例：你出門了後，伊就醒矣。Lí tshut-mn̂g liáu-āu, i tō tshénn--ah. (你出去之後，他就醒了。)　											
O	121	名	七星	tshit-tshenn/tshit-tshinn			北斗星		七星/陣/ 	依照北斗七星排列所設的陣式	【名】北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。例：七星陣　tshit-tshenn tīn(依照北斗七星排列所設的陣式)。											
O	122	名	二指	jī-tsáinn/lī-tsáinn			指指		大姊/昨昏/二指/去/予/玻璃/幼/仔/割/著/。	大姊昨天食指被碎玻璃割到。	【名】食指。例：大姊昨昏二指去予玻璃幼仔割著。Tuā-tsí tsa-hng  jī-tsáinn khì hōo po-lê-iù-á kuah-tio̍h. (大姊昨天食指被碎玻璃割到。)　	食指	指指　kí-tsuínn	報路　pò-lōo	二指　lī-tsáinn, 指指　kí-tsáinn	指指　kí-tsáinn	二指　jī-tsáinn, 指指　kí-tsáinn	二指　jī-tsáinn, 指指　kí-tsáinn	指指　kí-tsái	指指　kí-tsán	二指　lī-tsáinn	指指　kí-tsáinn
X	123	副	刁持	tiau-tî					伊/是/刁/持/欲/佮/我/做/對/的/。	他是故意要和我作對的。	1.【副】故意、存心。例：伊是刁持欲佮我做對的。I sī tiau-tî beh kah guá tsò-tuì--ê. (他是故意要和我作對的。)　[近]刁故意、刁意故、刁意[反]無張持、無細膩											
X	123	副	刁持	tiau-tî					我/是/刁/持/來/看/你/的/。	我是特別來看你的。	2.【副】特地、特意。例：我是刁持來看你的。Guá sī tiau-tî lâi khuànn--lí--ê. (我是特別來看你的。)　[近]刁工、專工											
O	124	副	刁故意	tiau-kòo-ì	挑故意		刁意故、存心、故意	無心	伊/刁故意/欲/講/予/你/氣/。	他故意這麼說要惹你生氣。	【副】存心、故意。例：伊刁故意欲講予你氣。I tiau-kòo-ì beh kóng hōo lí khì. (他故意這麼說要惹你生氣。)　											
O	126	形	八珍	pat-tin					你/毋通/遐/八珍/。	你不要這麼三八。	2.【形】三八。形容人的言行不莊重。例：你毋通遐八珍。lí m̄-thang hiah pat-tin. (你不要這麼三八。)　[近]三八											
O	127	名	人面	lâng-bīn	儂面		人頭		伊/的/人面/真/闊/，/拜託/伊/就/無毋著/！	他的人脈很廣，拜託他就沒錯！	【名】人脈。例：伊的人面真闊，拜託伊就無毋著！I ê lâng-bīn tsin khuah, pài-thok--i tō bô-m̄-tio̍h! (他的人脈很廣，拜託他就沒錯！)　											
O	128	名	人倫	jîn-lûn/lîn-lûn			倫理、倫常		這/个/案件/是/人倫/悲劇/。	這個案件是人倫悲劇。	【名】人類的倫常，人類相處的各種關係。例：這个案件是人倫悲劇。Tsit-ê àn-kiānn sī jîn-lûn pi-kio̍k. (這個案件是人倫悲劇。)　											
O	129	名	人員	jîn-uân/lîn-uân					阮/這/个/單位/的/人員/無夠/，/工課/才會/做/袂/完/。	我們這個單位的人數不足，工作才完成不了。	2.【名】人數。例：阮這个單位的人員無夠，工課才會做袂完。Guán tsit-ê tan-uī ê jîn-uân bô-kàu, khang-khuè tsiah ē tsò bē uân. (我們這個單位的人數不足，工作才完成不了。)　[近]跤手、人手、人數											
O	130	動	入厝	ji̍p-tshù/li̍p-tshù	入茨				你/當時/欲/入厝/？	你何時要搬入新家？	【動】新居落成，搬入新家。例：你當時欲入厝？Lí tang-sî beh ji̍p-tshù? (你何時要搬入新家？)、咱愛包禮共伊入厝。Lán ài pau-lé kā i ji̍p-tshù. (我們要包禮慶賀他入新家。)　											
O	136	名	人格	jîn-keh/lîn-keh			人品		做人/愛/重/人格/。	為人要注重人格。	【名】品格、品性。例：做人愛重人格。Tsò-lâng ài tiōng jîn-keh. (為人要注重人格。)、我用人格共你保證。Guá iōng jîn-keh kā lí pó-tsìng. (我用人格跟你保證。)　											
O	137	名	人氣	jîn-khì/lîn-khì			人望、人緣		伊/閣/不止仔/有/人氣/。	他的人緣還算不錯。	【名】人緣、人望。源自日語。例：伊閣不止仔有人氣。I koh put-tsí-á ū jîn-khì. (他的人緣還算不錯。)　											
O	139	名	人馬	jîn-má/lîn-má			兵馬		兩/隊/人馬/佇/街仔路/相拄/。	兩隊人馬在街道相遇。	【名】兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。例：兩隊人馬佇街仔路相拄。Nn̄g tuī jîn-má tī ke-á-lōo sio-tú. (兩隊人馬在街道相遇。)　											
O	140	動	入院	ji̍p-īnn/li̍p-īnn			蹛院		伊/昨暗/入院/。	他昨晚住院。	【動】住院。因為生病住進醫院就醫。例：伊昨暗入院。I tsa-àm ji̍p-īnn. (他昨晚住院。)　											
X	142	名	人情	jîn-tsîng/lîn-tsîng					做人情/予伊/。	給他一個人情。	1.【名】恩惠、恩情。例：做人情予伊。Tsò-jîn-tsîng hōo--i. (給他一個人情。)　											
X	142	名	人情	jîn-tsîng/lîn-tsîng					人/在人/情/在/。	人在人際關係就在。	2.【名】人際關係，尤指禮尚往來。例：人在人情在。Jîn tsāi jîn-tsîng tsāi. (人在人際關係就在。)　											
O	143	熟	人情世事	jîn-tsîng-sè-sū/lîn-tsîng-sè-sū			人事、人情		人情世事/有/夠/濟/。	禮尚往來的事情有夠多。	【熟】人情世故。為人處世的應對進退，多用在婚喪喜慶等應酬、禮尚往來的事宜。例：人情世事有夠濟。Jîn-tsîng-sè-sū ū-kàu-tsē. (禮尚往來的事情有夠多。)　											
O	145	名	人望	jîn-bōng/lîn-bōng			人氣、民望		伊/真/有/人望/。	他很有名氣。	【名】眾人矚目。例：伊真有人望。I tsin ū jîn-bōng. (他很有名氣。)　											
O	160	動	入學	ji̍p-o̍h/li̍p-o̍h			求學		我/今年/就/欲/入學/去/讀冊/矣/！	我今年就要入學去讀書了！	【動】開始進入學校學習、求學。例：我今年就欲入學去讀冊矣！Guá kin-nî tō beh ji̍p-o̍h khì tha̍k-tsheh--ah! (我今年就要入學去讀書了！)　											
O	161	動	入選	ji̍p-suán/li̍p-suán			中選		伊/彼/幅/圖/有/入選/無/？	他那幅畫有沒有入選？	【動】中選。被選上、被選入。例：伊彼幅圖有入選無？I hit pak tôo ū ji̍p-suán--bô? (他那幅畫有沒有入選？)　											
O	162	動	了錢	liáu-tsînn					伊/做/啥物/生理/攏/了錢/。	他做什麼生意都賠錢。	1.【動】賠錢、虧本。例：伊做啥物生理攏了錢。I tsò siánn-mih sing-lí lóng liáu-tsînn. (他做什麼生意都賠錢。)　[近]倒貼、賠錢	虧本	了錢　liáu-tsînn, 蝕本　si̍h-pńg	蝕本　sī-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún	了錢　liáu-tsînn, 蝕本　sī-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún, 了本　liáu-pún, 了去　liáu--khìr	了錢　liáu-tsînn	了錢　liáu-tsînn, 蝕本　si̍h-pún 	了錢　liáu-tsînn 
O	162	動	了錢	liáu-tsînn					這/號/物件/都/已/經/有/矣/，/你/閣/欲/買/，/加/了錢/的/。	這個東西已經有了，你還要買，多花錢而已。	2.【動】白費錢財。例：這號物件都已經有矣，你閣欲買，加了錢的。Tsit-lō mi̍h-kiānn to í-king ū--ah, lí koh beh bé, ke liáu-tsînn--ê. (這個東西已經有了，你還要買，多花錢而已。)　	虧本	了錢　liáu-tsînn, 蝕本　si̍h-pńg	蝕本　sī-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún	了錢　liáu-tsînn, 蝕本　sī-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún	了錢　liáu-tsînn, 蝕本　si̍h-pún, 了本　liáu-pún, 了去　liáu--khìr	了錢　liáu-tsînn	了錢　liáu-tsînn, 蝕本　si̍h-pún 	了錢　liáu-tsînn 
O	163	名	人頭	lâng-thâu	儂頭				這/間/店/是/算/人頭/收/錢/的/。	這家商店是按人數收錢的。	2.【名】人數。例：這間店是算人頭收錢的。Tsit king tiàm sī sǹg lâng-thâu siu tsînn--ê. (這家商店是按人數收錢的。)　											
O	163	名	人頭	lâng-thâu	儂頭				警察/掠/著/的/是/人頭/，/毋是/真正/的/頭家/。	警察捉到的是人頭帳戶，而不是背後的主使者。	3.【名】為了逃避法律責任所設置的負責人。例：警察掠著的是人頭，毋是真正的頭家。Kìng-tshat lia̍h-tio̍h--ê sī lâng-thâu, m̄-sī tsin-tsiànn--ê thâu-ke. (警察捉到的是人頭帳戶，而不是背後的主使者。)　											
O	164	名	力頭	la̍t-thâu			力量、氣力、力草		力頭/真/飽/ 	力道真大	【名】力氣、力道。例：力頭真飽　la̍t-thâu tsin pá(力道真大)。											
O	167	動	刁難	thiau-lân			刁、刁古董		無/佮意/你/就/講/，/何乜苦/共/伊/刁難/？	不喜歡你就說嘛，又何必故意為難他？	【動】故意為難。例：無佮意你就講，何乜苦共伊刁難？Bô kah-ì lí tō kóng, hô-mí-khóo kā i thiau-lân? (不喜歡你就說嘛，又何必故意為難他？)　											
X	171	數	三	【白】sann		【文】sam、【文】sàm			三隻/狗/ 	三條狗	【數】數字。例：三隻狗　sann tsiah káu(三條狗)。											
X	172	動	上	【白】tsiūnn		【白】tshiūnn、【文】siōng、【文】sióng、【替】siāng			上桌/ 	把食物或其他東西端上桌	2.【動】把東西端上去。例：上桌　tsiūnn toh(把食物或其他東西端上桌)。											
X	173	動	上	【白】tshiūnn		【白】tsiūnn、【文】siōng、【文】sióng、【替】siāng			上水/ 	從井裡頭用水桶把水打上來	1.【動】向上提吊。例：上水　tshiūnn-tsuí(從井裡頭用水桶把水打上來)。	上	tshiǔnn	tshiūnn	tshiūnn	tshiūnn	tshiōnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn
X	173	動	上	【白】tshiūnn		【白】tsiūnn、【文】siōng、【文】sióng、【替】siāng			上青苔/ 	長青苔	2.【動】慢慢長出來。例：上青苔　tshiūnn tshenn-thî(長青苔)。	上	tshiǔnn	tshiūnn	tshiūnn	tshiūnn	tshiōnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn	tshiūnn
O	174	副	上	【文】siōng	尚	【白】tsiūnn、【白】tshiūnn、【文】sióng、【替】siāng			上/好/ 	最好	2.【副】極致地、最……地，有些地區音變為thōng。例：上好　siōng-hó(最好)。[近]最											
O	175	位	下	【白】ē		【文】hā、【白】hē、【替】e			天/跤/下/ 	天底下	1.【位】指空間位置「上」的相反。例：天跤下　thinn-kha-ē(天底下)。[反]頂											
O	175	量	下	【白】ē		【文】hā、【白】hē、【替】e			拍/三/下/ 	打三下	2.【量】計算短暫動作的單位。例：拍三下　phah sann ē(打三下)、驚一下　kiann tsi̍t-ē(嚇一跳)。											
O	176	動	下	【文】hā		【白】ē、【白】hē、【替】e			下/令/ 	宣布命令	2.【動】宣布、公布。例：下令　hā-līng(宣布命令)。											
O	176	動	下	【文】hā		【白】ē、【白】hē、【替】e			南/下/ 	往南部去	3.【動】往底下走。例：南下　lâm hā(往南部去)。											
